,NDC Description,Potential Dispensed Days,Risk Factor,Rolling Window Days,Mean of Rolling Sum,STD. Of Rolling Sum,Actual Dispensed Days,Recommended Min Level,Recommended Max Level
487,venlafaxine ER 37.5 mg/24 hour capsule,92,1,5,147.0,94.61319279043488,23,147.0,241.61319279043488
488,dilTIAZem ER 240 mg/24 hour capsule,92,1,5,158.02631578947367,91.73359985750312,12,158.02631578947367,249.7599156469768
489,diphenhydrAMINE 12.5 mg/5 mL (AF) liquid [118mL],92,1,5,179.0,64.29964575675704,2,179.0,243.29964575675706
490,methIMAzole 10 mg tablet,92,1,5,60.0,0.0,2,60.0,60.0
491,Adderall XR 30 mg capsule,92,1,5,75.0,27.68061083531605,8,75.0,102.68061083531605
492,inhaler spacer (easivent),92,1,5,1.196078431372549,0.40097919363165213,12,1.196078431372549,1.5970576250042012
493,methylphenidate ER 36 mg/24 hour tablet,92,1,5,137.33333333333334,103.82240080585164,11,137.33333333333334,241.15573413918497
494,guanFACINE ER 2 mg tablet,92,1,5,58.421052631578945,30.77935056255463,4,58.421052631578945,89.20040319413357
495,omeprazole DR 10 mg capsule,92,1,5,100.38461538461539,29.32313342475791,6,100.38461538461539,129.7077488093733
496,levETIRAcetam 500 mg tablet,92,1,5,234.54545454545453,128.4978144237804,6,234.54545454545453,363.04326896923493
497,Xiidra 5% eye drops UD [60EA],92,1,5,87.09677419354838,46.057467609288345,7,87.09677419354838,133.15424180283674
498,niacin (eqv-niaspan) ER 500 mg tablet,92,1,5,119.23076923076923,50.80326426440559,9,119.23076923076923,170.0340334951748
499,gabapentin 800 mg tablet,92,1,5,398.8636363636364,206.69285053162318,12,398.8636363636364,605.5564868952596
500,sildenafil 20 mg tablet,92,1,5,116.84210526315789,61.55870112510926,4,116.84210526315789,178.40080638826714
501,Detrol LA 4 mg/24 hour capsule,92,1,5,149.26829268292684,93.55186379496774,12,149.26829268292684,242.82015647789459
502,DULoxetine DR 60 mg capsule,92,1,5,266.7567567567568,125.08745552237971,33,266.7567567567568,391.8442122791365
503,Atacand 8 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
504,metaxalone 800 mg tablet,92,1,5,60.0,30.51285766293647,6,60.0,90.51285766293647
505,cefdinir 250 mg/5 mL oral suspension [60mL],92,1,5,80.0,29.277002188455995,3,80.0,109.277002188456
506,clindamycin 2% vaginal cream [40g],92,1,5,40.0,0.0,3,40.0,40.0
507,dilTIAZem 60 mg tablet,92,1,5,360.0,0.0,1,360.0,360.0
508,cefadroxil 500 mg capsule,92,1,5,14.0,0.0,1,14.0,14.0
509,Ritalin LA 10 mg/24 hour capsule,92,1,5,90.0,0.0,1,90.0,90.0
510,doxycycline hyclate 100 mg capsule,92,1,5,62.11764705882353,60.823092975917874,21,62.11764705882353,122.9407400347414
511,Vigamox 0.5% eye drops [3mL],92,1,5,3.75,1.3269776053940743,5,3.75,5.076977605394074
512,doxycycline monohydrate 100 mg tablet,92,1,5,20.0,0.0,1,20.0,20.0
513,Ayr Sinus Rinse Kit [50EA with bottle],92,1,5,72.58064516129032,25.29397055103368,7,72.58064516129032,97.874615712324
514,olmesartan 5 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
515,busPIRone 7.5 mg tablet,92,1,5,110.0,52.77986629117476,3,110.0,162.77986629117476
516,pregabalin 300 mg capsule,92,1,5,90.0,0.0,2,90.0,90.0
517,rOPINIRole 2 mg tablet,92,1,5,180.0,0.0,3,180.0,180.0
518,methylphenidate ER 18 mg/24 hour tablet,92,1,5,73.75,31.540789916732088,9,73.75,105.29078991673208
519,QUEtiapine 50 mg tablet,92,1,5,70.16949152542372,60.818881069652825,15,70.16949152542372,130.98837259507656
520,Seroquel 300 mg tablet,92,1,5,33.0,33.76388603226827,4,33.0,66.76388603226826
521,cloNIDine 0.1 mg tablet,92,1,5,74.77272727272727,52.68990620265727,11,74.77272727272727,127.46263347538454
522,GoLYTELY oral powder [4000mL],92,1,5,4000.0,0.0,1,4000.0,4000.0
523,benzoyl peroxide 5% gel [42.5g],92,1,5,85.0,0.0,1,85.0,85.0
524,gemfibrozil 600 mg tablet,92,1,5,242.30769230769232,85.25978400882077,4,242.30769230769232,327.5674763165131
525,adapalene 0.1% cream [45g],92,1,5,45.0,0.0,3,45.0,45.0
526,allopurinol 300 mg tablet,92,1,5,249.27631578947367,107.60949136381487,36,249.27631578947367,356.8858071532885
527,clobetasol 0.05% ointment [15g],92,1,5,15.0,0.0,1,15.0,15.0
528,amphetamine-dextroamphetamine 5 mg tablet,92,1,5,55.38461538461539,23.533936216582084,6,55.38461538461539,78.91855160119746
529,betamethasone dipropionate 0.05% ointment [15g],92,1,5,33.46153846153846,15.191090506255,3,33.46153846153846,48.65262896779346
530,Micardis HCT 12.5 mg-80 mg tablet,92,1,5,109.56521739130434,37.53259453027348,11,109.56521739130434,147.09781192157783
531,ipratropium 21 mcg/inh nasal spray [30mL],92,1,5,58.064516129032256,29.93541434919624,7,58.064516129032256,87.99993047822849
532,Altace 2.5 mg capsule,92,1,5,97.5,50.45842478297303,4,97.5,147.95842478297303
533,ARIPiprazole 10 mg tablet,92,1,5,39.23076923076923,38.50434540911735,6,39.23076923076923,77.73511463988658
534,mirtazapine 45 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
535,Micardis 80 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
536,Elidel 1% cream [30g],92,1,5,75.0,42.30839160261236,11,75.0,117.30839160261236
537,Malarone 250 mg-100 mg tablet,92,1,5,216.5,24.771175004652303,2,216.5,241.2711750046523
538,buPROPion 75 mg tablet,92,1,5,19.285714285714285,13.424391446701994,5,19.285714285714285,32.71010573241628
539,desoximetasone 0.25% cream [60g],92,1,5,60.0,0.0,1,60.0,60.0
540,Pulmicort Respules 1 mg/2 mL inhl susp (2mL),92,1,5,120.0,0.0,2,120.0,120.0
541,Nurtec 75 mg ODT,92,1,5,11.2,6.531972647421808,5,11.2,17.731972647421806
542,LORazepam 0.5 mg tablet,92,1,5,36.76470588235294,18.280896489794703,4,36.76470588235294,55.04560237214764
543,amphetamine-dextroamphetamine 20 mg tablet,92,1,5,90.0,0.0,5,90.0,90.0
544,oxybutynin ER 5 mg/24 hour tablet,92,1,5,91.875,35.690199251063945,8,91.875,127.56519925106394
545,Levemir FlexTouch detemir 100 units/mL [3mL],92,1,5,50.0,39.026618135279456,6,50.0,89.02661813527945
546,Entresto 49 mg-51 mg tablet,92,1,5,180.0,0.0,2,180.0,180.0
547,sotalol 80 mg tablet,92,1,5,187.82608695652175,37.53259453027347,5,187.82608695652175,225.3586814867952
548,Corlanor 5 mg tablet,92,1,5,180.0,0.0,1,180.0,180.0
549,estradiol 0.1 mg/g vaginal cream [42.5g],92,1,5,105.85,66.05990246954441,17,105.85,171.90990246954442
550,warfarin (Golden State) 5 mg tablet,92,1,5,90.0,0.0,4,90.0,90.0
551,Easy Touch pen needles 31g 6mm [100EA],92,1,5,175.0,133.2784974957958,4,175.0,308.2784974957958
552,pioglitazone 45 mg tablet,92,1,5,105.76923076923077,36.57253897786494,10,105.76923076923077,142.34176974709573
553,Advair HFA 45-21 mcg inhaler (12g),92,1,5,15.348837209302326,9.559048869128773,9,15.348837209302326,24.907886078431098
554,anastrozole 1 mg tablet,92,1,5,64.0,28.543595465625263,4,64.0,92.54359546562526
555,dilTIAZem CD 120 mg/24 hour capsule,92,1,5,87.5,29.229228968396626,6,87.5,116.72922896839663
556,dilTIAZem ER 360 mg/24 hour capsule,92,1,5,101.25,30.240967726451117,8,101.25,131.49096772645112
557,busPIRone 10 mg tablet,92,1,5,274.13793103448273,204.89650346574095,17,274.13793103448273,479.0344345002237
558,selegiline 5 mg capsule,92,1,5,60.0,0.0,3,60.0,60.0
559,leflunomide 20 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
560,predniSONE 1 mg tablet,92,1,5,146.47058823529412,86.09160647753272,4,146.47058823529412,232.56219471282685
561,tiZANidine 4 mg tablet,92,1,5,268.38461538461536,214.47448073049478,23,268.38461538461536,482.8590961151101
562,albuterol 2.5mg/3mL (0.083%) inhale solution (3mL),92,1,5,375.0,287.99771340555685,11,375.0,662.9977134055569
563,"Creon DR 6000-19,000-30,000 units capsule",92,1,5,607.0588235294117,19.926334924652135,4,607.0588235294117,626.9851584540638
564,minocycline 100 mg capsule,92,1,5,99.18367346938776,66.01252200321157,12,99.18367346938776,165.19619547259933
565,Benicar-HCT 25 mg-40 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
566,Junel Fe (norethindrone/EE) 1.5/30 tab (28),92,1,5,72.8,55.99999999999999,6,72.8,128.79999999999998
567,enoxaparin 40 mg/0.4 mL inj-syringe (0.4mL),92,1,5,11.733333333333329,0.3903600291794136,3,11.733333333333329,12.123693362512743
568,Incruse Ellipta 62.5 mcg (0.0625 mg) inh (30EA),92,1,5,30.0,0.0,1,30.0,30.0
569,Breo Ellipta 200-25 mcg inhaler (60EA/30 Doses),92,1,5,60.0,0.0,1,60.0,60.0
570,methocarbamol 750 mg tablet,92,1,5,200.04545454545453,183.51882921524094,12,200.04545454545453,383.5642837606955
571,pramipexole 0.125 mg tablet,92,1,5,130.0,58.55400437691199,3,130.0,188.554004376912
572,Flovent Diskus 100 mcg inhaler (60EA),92,1,5,60.0,0.0,2,60.0,60.0
573,chlorthalidone 50 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
574,Lantus glargine 100 units/mL inj-vial [10mL],92,1,5,80.0,43.47784011016602,19,80.0,123.47784011016603
575,cephalexin 500 mg capsule,92,1,5,42.833333333333336,27.203044861145862,17,42.833333333333336,70.0363781944792
576,RABEprazole EC 20 mg tablet,92,1,5,131.53846153846155,67.99916646309799,11,131.53846153846155,199.53762800155954
577,risperiDONE 0.25 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
578,prazosin 2 mg capsule,92,1,5,58.23529411764706,34.59467363410539,9,58.23529411764706,92.82996775175245
579,divalproex sodium DR 500 mg tablet,92,1,5,30.0,0.0,3,30.0,30.0
580,bacitracin 500 units/g ointment [14g],92,1,5,35.0,12.296340919151518,8,35.0,47.29634091915152
581,zinc oxide 20% ointment [28.4g],92,1,5,37.043478260869556,44.85106491172104,3,37.043478260869556,81.8945431725906
582,letrozole 2.5 mg tablet,92,1,5,47.5,43.60407996361905,4,47.5,91.10407996361906
583,lamoTRIgine 100 mg tablet,92,1,5,90.0,56.54527761937889,4,90.0,146.5452776193789
584,atomoxetine 80 mg capsule,92,1,5,90.0,0.0,1,90.0,90.0
585,guanFACINE ER 4 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
586,Nucala 100 mg/mL Inj,92,1,5,1.0,0.0,3,1.0,1.0
587,methylPREDNISolone 4 mg tablet Dose Pack [21EA],92,1,5,32.2,12.342830086550434,12,32.2,44.54283008655044
588,ALPRAZolam 0.25 mg tablet,92,1,5,51.42857142857143,33.3226231341945,12,51.42857142857143,84.75119456276593
589,ziprasidone 40 mg capsule,92,1,5,30.0,0.0,2,30.0,30.0
590,nitrofurantoin 50 mg capsule,92,1,5,28.0,0.0,1,28.0,28.0
591,Vesicare 10 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
592,lovastatin 20 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
593,ketoconazole 2% cream [15g],92,1,5,69.44444444444444,37.476488355863594,7,69.44444444444444,106.92093280030804
594,megestrol 40 mg tablet,92,1,5,84.0,0.0,2,84.0,84.0
595,Bystolic 2.5 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
596,Armour Thyroid 90 mg (1.5 gr) tablet,92,1,5,79.5,18.65898964941141,4,79.5,98.15898964941141
597,miSOPROStol 200 mcg tablet,92,1,5,2.0,0.0,2,2.0,2.0
598,Junel (norethindrone/EE) 1.5/30 tablet (21),92,1,5,93.94736842105263,24.61813623284564,5,93.94736842105263,118.56550465389827
599,cephalexin 250 mg capsule,92,1,5,33.47826086956522,10.535090995928327,5,33.47826086956522,44.01335186549355
600,Spiriva Respimat 1.25 mcg inhaler (4g),92,1,5,15.0,5.366563145999495,4,15.0,20.366563145999496
601,ipratropium 42 mcg/inh nasal spray [15mL],92,1,5,37.77777777777778,18.77669040497027,6,37.77777777777778,56.55446818274805
602,Combivent Respimat 100-20 mcg inhaler [4g],92,1,5,16.0,8.53991993862586,12,16.0,24.53991993862586
603,rOPINIRole 3 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
604,digoxin 125 mcg (0.125 mg) tablet,92,1,5,105.0,36.742346141747674,8,105.0,141.74234614174767
605,benazepril 40 mg tablet,92,1,5,135.0,46.16902584383194,4,135.0,181.16902584383195
606,rizatriptan 10 mg tablet,92,1,5,24.80851063829787,18.2669079483762,14,24.80851063829787,43.075418586674076
607,Stiolto Respimat 2.5-2.5 mcg inhaler (4g),92,1,5,4.0,0.0,2,4.0,4.0
608,busPIRone 15 mg tablet,92,1,5,134.66666666666666,90.1413032158652,14,134.66666666666666,224.80796988253184
609,Trintellix 20 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
610,cilostazol 100 mg tablet,92,1,5,37.5,7.905694150420948,2,37.5,45.40569415042095
611,Januvia 25 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
612,Urocit-K citrate ER 10 mEq tablet,92,1,5,202.5,94.2542888559557,9,202.5,296.7542888559557
613,tolterodine 1 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
614,BD insulin syringe 1 ml 31 g 6 mm [100EA],92,1,5,304.3478260869565,189.4447889577359,6,304.3478260869565,493.7926150446924
615,Levemir detemir 100 units/mL [10mL],92,1,5,80.0,0.0,1,80.0,80.0
616,Synthroid 175 mcg tablet,92,1,5,165.25,96.83738334733815,21,165.25,262.0873833473381
617,dilTIAZem ER 120 mg/24 hour capsule,92,1,5,143.57142857142858,86.78039085492641,11,143.57142857142858,230.351819426355
618,clindamycin 1% gel [30g],92,1,5,30.0,0.0,1,30.0,30.0
619,Chantix 1 mg tablet,92,1,5,86.54545454545455,45.4922940897557,16,86.54545454545455,132.03774863521025
620,Chantix 0.5 mg-1 mg tablet - Starter Pack (53EA),92,1,5,64.24242424242425,22.00288376416587,7,64.24242424242425,86.24530800659012
621,hydrOXYzine hydrochloride 10 mg tablet,92,1,5,53.666666666666664,27.753015783108523,7,53.666666666666664,81.4196824497752
622,midodrine 5 mg tablet,92,1,5,45.0,0.0,1,45.0,45.0
623,AeroChamber (small mask),92,1,5,1.0,0.0,2,1.0,1.0
624,triamcinolone 0.1% ointment [80g],92,1,5,171.0344827586207,102.12977047927214,19,171.0344827586207,273.1642532378928
625,Dexedrine 10 mg/24 hour capsule,92,1,5,30.0,0.0,1,30.0,30.0
626,ketoconazole topical 2% shampoo [118.28mL],92,1,5,191.5016,88.97135451322727,14,191.5016,280.47295451322725
627,Lyumjev lispro aabc 100 units/mL [10mL],92,1,5,80.0,0.0,1,80.0,80.0
628,Brovana 15 mcg/2 mL inhalation solution (2mL),92,1,5,231.42857142857142,87.83100656536797,2,231.42857142857142,319.2595779939394
629,clotrimazole 1% cream [28.35g],92,1,5,85.04999999999998,1.4979556132593925e-14,2,85.04999999999998,85.05
630,BD insulin syringe 1 ml 30 g 0.5 in [100EA],92,1,5,152.17391304347825,66.53478391304606,5,152.17391304347825,218.7086969565243
631,cyanocobalamin 1000 mcg/mL inj-vial [1mL],92,1,5,4.0,1.4638501094227998,3,4.0,5.4638501094228
632,ciclopirox 0.77% cream [30g],92,1,5,75.0,15.811388300841896,2,75.0,90.8113883008419
633,donepezil 5 mg tablet,92,1,5,30.0,0.0,2,30.0,30.0
634,oxyCODONE 15 mg tablet,92,1,5,144.0,30.0,5,144.0,174.0
635,methadone 5 mg tablet,92,1,5,60.0,0.0,3,60.0,60.0
636,NexIUM 40 mg capsule,92,1,5,150.0,63.245553203367585,2,150.0,213.2455532033676
637,estradiol 0.1mg/24hr (Eqv Vivelle-Dot) 2x/wk patch [8EA],92,1,5,24.0,0.0,3,24.0,24.0
638,pravastatin 10 mg tablet,92,1,5,126.38297872340425,71.85206819554881,13,126.38297872340425,198.23504691895306
639,acamprosate EC 333 mg tablet,92,1,5,102.4390243902439,104.58681771152801,9,102.4390243902439,207.0258421017719
640,albendazole 200 mg tablet,92,1,5,6.0,0.0,1,6.0,6.0
641,verapamil SR 120 mg tablet,92,1,5,135.0,47.43416490252569,2,135.0,182.43416490252568
642,Emgality 120 mg/mL pen-inj [1mL],92,1,5,1.5454545454545454,0.7537783614444094,7,1.5454545454545454,2.299232906898955
643,DULoxetine DR 20 mg capsule,92,1,5,121.15384615384616,56.591654725899154,6,121.15384615384616,177.74550087974532
644,hydroCHLOROthiazide-telmisartan 12.5 mg-40 mg tab,92,1,5,123.52941176470588,50.78675139883493,14,123.52941176470588,174.3161631635408
645,Aciphex 20 mg tablet,92,1,5,180.0,0.0,1,180.0,180.0
646,Tiazac 180 mg/24 hours capsule,92,1,5,123.52941176470588,54.65497027170603,9,123.52941176470588,178.1843820364119
647,nicotine 21 mg/24 hour patch (14EA),92,1,5,28.0,0.0,2,28.0,28.0
648,cefdinir 300 mg capsule,92,1,5,15.714285714285714,5.983169672316765,7,15.714285714285714,21.697455386602478
649,azelaic acid 15% foam [50g],92,1,5,50.0,0.0,1,50.0,50.0
650,mometasone 0.1% ointment [45g],92,1,5,45.0,0.0,1,45.0,45.0
651,Anucort-HC 25 mg rectal suppository,92,1,5,17.5,11.067971810589327,2,17.5,28.567971810589327
652,acetaZOLAMIDE 250 mg tablet,92,1,5,120.0,0.0,3,120.0,120.0
653,Ovace Plus 10% wash [473mL],92,1,5,473.0,0.0,1,473.0,473.0
654,Azelex acid 20% cream [50g],92,1,5,50.0,0.0,1,50.0,50.0
655,meloxicam 15 mg tablet,92,1,5,190.68493150684932,110.04202186138924,34,190.68493150684932,300.7269533682386
656,Plan B One-Step (levonorgestrel) 1.5 mg tablet,92,1,5,1.0,0.0,4,1.0,1.0
657,eszopiclone 3 mg tablet,92,1,5,65.0,19.364916731037084,3,65.0,84.36491673103708
658,SUMAtriptan 5 mg/inh nasal spray [6EA],92,1,5,6.0,0.0,1,6.0,6.0
659,estradiol 0.075 mg/24 hr (Eqv Vivelle-Dot) 2x/wk  [8EA],92,1,5,24.0,0.0,1,24.0,24.0
660,terazosin 10 mg capsule,92,1,5,112.5,39.98354924873873,4,112.5,152.48354924873874
661,Humira 40 mg/0.8 mL [2PENS],92,1,5,2.0,0.0,2,2.0,2.0
662,dicyclomine 20 mg tablet,92,1,5,91.66666666666667,55.837407639986516,6,91.66666666666667,147.5040743066532
663,"sodium chloride, hypertonic, 5% eye drops [15mL]",92,1,5,15.0,0.0,1,15.0,15.0
664,penicillin V potassium 500 mg tablet,92,1,5,39.464285714285715,18.695378995013606,8,39.464285714285715,58.15966470929932
665,zolpidem CR 6.25 mg tablet,92,1,5,66.52173913043478,43.57425174365893,5,66.52173913043478,110.0959908740937
666,multivitamin Poly-Vi-Sol with Iron oral sol drops [50mL],92,1,5,50.0,0.0,1,50.0,50.0
667,Covaryx 1.25 mg- 2.5 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
668,HumaLOG lispro 100 units/mL [10mL],92,1,5,90.0,0.0,1,90.0,90.0
669,freestyle (glucose) test strip [50],92,1,5,400.0,0.0,1,400.0,400.0
670,memantine 5 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
671,Junel Fe (norethindrone/EE) 1/20 tablet (28),92,1,5,105.71428571428571,43.6272086355904,13,105.71428571428571,149.34149434987611
672,metoprolol succinate ER 200 mg/24 hour tablet,92,1,5,105.88235294117646,47.57347258838321,5,105.88235294117646,153.45582552955966
673,tamoxifen 20 mg tablet,92,1,5,70.8,24.000000000000004,5,70.8,94.8
674,progesterone 200 mg capsule,92,1,5,92.85714285714286,18.746428231227714,5,92.85714285714286,111.60357108837057
675,ferrous sulfate (elemental) 15 mg/mL liquid [50mL],92,1,5,78.94736842105263,45.07952686852491,4,78.94736842105263,124.02689528957754
676,oxybutynin 5 mg tablet,92,1,5,162.5,113.60687364385323,5,162.5,276.10687364385325
677,loratadine 5 mg/5 mL syrup [120mL],92,1,5,218.1818181818182,95.40072694324033,5,218.1818181818182,313.5825451250585
678,valsartan 320 mg tablet,92,1,5,90.0,0.0,3,90.0,90.0
679,Tri-Sprintec (norgestimate/EE) 35 mcg tablet (28),92,1,5,103.15789473684211,39.65426688181951,9,103.15789473684211,142.8121616186616
680,clindamycin 150 mg capsule,92,1,5,51.666666666666664,35.75378767813745,5,51.666666666666664,87.42045434480411
681,indomethacin 50 mg capsule,92,1,5,68.95833333333333,39.55126466033524,5,68.95833333333333,108.50959799366856
682,ketoconazole 2% cream [30g],92,1,5,89.41176470588235,56.44153664477544,13,89.41176470588235,145.85330135065777
683,Narcan 4 mg/0.1 mL nasal spray [2EA],92,1,5,8.08695652173913,16.24236721520675,11,8.08695652173913,24.32932373694588
684,Neupro 8 mg/24 hour patch,92,1,5,90.0,0.0,2,90.0,90.0
685,amphetamine-dextroamphetamine 30 mg tablet,92,1,5,51.458333333333336,28.70688323255481,5,51.458333333333336,80.16521656588814
686,isosorbide mononitrate ER 60 mg/24 hour tablet,92,1,5,118.42105263157895,42.98102396468274,5,118.42105263157895,161.40207659626168
687,armodafinil 150 mg tablet,92,1,5,30.0,0.0,2,30.0,30.0
688,Enbrel 50 mg/mL SureClick Prefilled Autoinjector [4EA],92,1,5,4.0,0.0,3,4.0,4.0
689,rOPINIRole 0.25 mg tablet,92,1,5,150.0,84.8528137423857,5,150.0,234.8528137423857
690,hydrochlorothiazide-lisinopril 25 mg-20 mg tablet,92,1,5,107.14285714285714,36.21365172733303,5,107.14285714285714,143.35650887019017
691,pioglitazone 15 mg tablet,92,1,5,131.4,66.08621456175288,12,131.4,197.4862145617529
692,ARIPiprazole 5 mg tablet,92,1,5,30.0,0.0,2,30.0,30.0
693,norelgestromin/EE 150/35 mcg/24 hr weekly patch,92,1,5,12.666666666666666,5.858172225035876,11,12.666666666666666,18.524838891702544
694,triamcinolone 0.1% cream [30g],92,1,5,40.0,14.383899044561524,6,40.0,54.383899044561524
695,hydrALAZINE 25 mg tablet,92,1,5,450.0,402.49223594996215,3,450.0,852.4922359499622
696,trimethoprim 100 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
697,Symproic 0.2 mg tablet,92,1,5,41.53846153846154,15.191090506255,3,41.53846153846154,56.72955204471654
698,rizatriptan 5 mg tablet,92,1,5,10.4,4.546060565661953,5,10.4,14.946060565661952
699,prasugrel 10 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
700,desmopressin 10 mcg/inh nasal spray (fridge) [5mL],92,1,5,5.0,0.0,3,5.0,5.0
701,sildenafil 25 mg tablet,92,1,5,40.86666666666667,36.13962821160072,15,40.86666666666667,77.0062948782674
702,Carnitor 330 mg tablet,92,1,5,60.0,0.0,2,60.0,60.0
703,bacitracin 500 units/g eye ointment [3.5g],92,1,5,4.0,0.0,1,4.0,4.0
704,pramipexole 1.5 mg tablet,92,1,5,180.0,94.86832980505137,2,180.0,274.86832980505136
705,amoxicillin-clav 600 mg-42.9 mg/5 mL oral susp [125mL],92,1,5,125.0,0.0,2,125.0,125.0
706,cevimeline 30 mg capsule,92,1,5,278.57142857142856,106.1266090236428,5,278.57142857142856,384.69803759507136
707,methotrexate 25 mg/mL inj-vial [2mL],92,1,5,12.0,0.0,2,12.0,12.0
708,tocilizumab 162 mg/0.9 mL inj-syringe (0.9mL),92,1,5,4.0,0.0,3,4.0,4.0
709,NovoLIN N (NPH) 100 units/mL [10mL],92,1,5,30.0,0.0,1,30.0,30.0
710,NovoLIN R regular 100 units/mL [10mL],92,1,5,23.333333333333332,9.75900072948533,3,23.333333333333332,33.092334062818665
711,triamcinolone 0.1% cream [454g],92,1,5,529.6666666666666,172.0882558924111,7,529.6666666666666,701.7549225590777
712,Yaz (drospirenone/EE) 3/0.02 tablet (28),92,1,5,70.0,14.757295747452437,2,70.0,84.75729574745243
713,cefdinir 250 mg/5 mL oral suspension [100mL],92,1,5,100.0,0.0,1,100.0,100.0
714,dexamethasone 4 mg tablet,92,1,5,20.5,20.554804791094465,2,20.5,41.05480479109447
715,chlorpheniramine 4 mg tablet,92,1,5,94.16666666666667,5.149286505444372,3,94.16666666666667,99.31595317211104
716,bumetanide 0.5 mg tablet,92,1,5,136.4516129032258,79.3115538912532,7,136.4516129032258,215.763166794479
717,Synthroid 200 mcg tablet,92,1,5,134.47916666666666,64.6532451616242,14,134.47916666666666,199.13241182829086
718,rOPINIRole 0.5 mg tablet,92,1,5,30.0,0.0,2,30.0,30.0
719,Nortrel 7/7/7 (norethindrone/EE) tablet (28),92,1,5,84.0,0.0,2,84.0,84.0
720,Cialis 2.5 mg tablet,92,1,5,90.0,0.0,2,90.0,90.0
721,"nystatin-triamcinolone 100,000 units/g-0.1% cream [30g]",92,1,5,30.0,0.0,2,30.0,30.0
722,modafinil 100 mg tablet,92,1,5,73.6842105263158,67.92238432503429,4,73.6842105263158,141.60659485135008
723,verapamil 80 mg tablet,92,1,5,191.25,82.42819841981773,4,191.25,273.6781984198177
724,nystatin 100000 units/mL oral suspension,92,1,5,126.25,82.20908303425682,4,126.25,208.45908303425682
725,PARoxetine 7.5 mg capsule,92,1,5,90.0,0.0,1,90.0,90.0
726,QUEtiapine 25 mg tablet,92,1,5,83.07692307692308,78.83311888720476,14,83.07692307692308,161.91004196412786
727,Bystolic 10 mg tablet,92,1,5,162.0,60.85110634045319,4,162.0,222.85110634045319
728,Ranexa ER 500 mg/12 hour tablet,92,1,5,180.0,0.0,2,180.0,180.0
729,timolol maleate 0.5% eye drops [10mL],92,1,5,13.333333333333334,4.879500364742665,3,13.333333333333334,18.212833698075997
730,warfarin (Exelan) 5 mg tablet,92,1,5,171.875,79.51676971976833,4,171.875,251.39176971976832
731,mometasone 50 mcg/inh nasal spray [17g],92,1,5,17.0,0.0,2,17.0,17.0
732,phenytoin ER 100 mg capsule,92,1,5,540.0,0.0,1,540.0,540.0
733,hydrochlorothiazide-triamterene 50 mg-75 mg tablet,92,1,5,101.57142857142857,29.5747166604554,9,101.57142857142857,131.14614523188396
734,Xarelto 15 mg tablet,92,1,5,90.0,0.0,4,90.0,90.0
735,Otezla 30 mg tablet,92,1,5,68.27586206896552,21.055872190307888,8,68.27586206896552,89.33173425927342
736,lisinopril 2.5 mg tablet,92,1,5,114.8936170212766,55.359392605737874,11,114.8936170212766,170.25300962701448
737,lidocaine 2% viscous oral solution [100mL],92,1,5,100.0,0.0,1,100.0,100.0
738,Jolessa (l-norgestrel/EE) 0.15/0.03 tablet (91),92,1,5,151.66666666666666,71.38627319029897,7,151.66666666666666,223.05293985696562
739,warfarin (Exelan) 1 mg tablet,92,1,5,203.33333333333334,95.36895771286429,5,203.33333333333334,298.7022910461976
740,terazosin 5 mg capsule,92,1,5,108.0,36.742346141747674,5,108.0,144.74234614174767
741,minocycline 50 mg capsule,92,1,5,180.0,0.0,1,180.0,180.0
742,mesalamine (Lialda) EC 1.2g tablet,92,1,5,383.3333333333333,84.98868702996252,6,383.3333333333333,468.32202036329585
743,colchicine 0.6 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
744,cimetidine 400 mg tablet,92,1,5,116.91176470588235,68.56775797089388,8,116.91176470588235,185.47952267677624
745,tadalafil 5 mg tablet,92,1,5,141.42857142857142,112.33385068275986,24,141.42857142857142,253.76242211133126
746,glycopyrrolate 1 mg tablet,92,1,5,75.0,15.811388300841896,2,75.0,90.8113883008419
747,Donnatal 0.0194-0.1037-16.2-0.0065 mg tablet,92,1,5,90.0,0.0,1,90.0,90.0
748,Advair HFA 230-21 mcg inhaler (12g),92,1,5,35.625,21.003455936829123,8,35.625,56.62845593682913
